"","k_total_mean","k_total_disp","k_cancer_mean","k_cancer_disp","k_normal_mean","k_normal_disp"
"SRM|6723",1542.61805555556,0.163159485884112,1914.26388888889,0.260629776225568,1170.97222222222,0.068109768275197
"SRP14|6727",12656.8958333333,0.0513613377447293,11413.3472222222,0.0641694231010781,13900.4444444444,0.0582380723342411
"SRP19|6728",1240.0625,0.07581139581031,1296.65277777778,0.13497156876364,1183.47222222222,0.0372504457084009
"SRP54|6729",3368.58333333333,0.13716724243079,3319.30555555556,0.243046655874974,3417.86111111111,0.0297228551329947
"SRP68|6730",5390.44444444444,0.0374479055245358,5590.94444444444,0.061838206653468,5189.94444444444,0.0346603476443494
"SRP72|6731",5941.10416666667,0.0493029683415278,6521.45833333333,0.0828903239540025,5360.75,0.0346278789757376
"SRP9|6726",10342.2013888889,0.0728665186684091,8832.76388888889,0.108959505685636,11851.6388888889,0.0541116342949463
"SRPK1|6732",2362.34027777778,0.0875589628581058,1922.01388888889,0.124784406271131,2802.66666666667,0.0661613908127591
"SRPK2|6733",1886.20138888889,0.0585819264006381,1813.27777777778,0.100488513544641,1959.125,0.0355372261679207
"SRPRB|58477",3311.28472222222,0.0894537211605006,3260.91666666667,0.149951215497103,3361.65277777778,0.0407730010574774
"SRPR|6734",9807.81944444445,0.0364764415713664,10100.0694444444,0.0652929515442156,9515.56944444445,0.0280821053348008
"SRPX2|27286",529.840277777778,1.37838452409836,510.305555555556,1.86734705378535,549.375,0.728177630921018
"SRPX|8406",342.805555555556,0.696038250682075,281.722222222222,0.664797393582793,403.888888888889,0.701260670542194
"SRRD|402055",733.444444444444,0.0626874037644253,798.166666666667,0.106937341103159,668.722222222222,0.0526501413414175
"SRRM1|10250",4130.13888888889,0.0651393404071268,3652.86111111111,0.0979864594109687,4607.41666666667,0.0498423401659046
"SRRM2|23524",23789.0902777778,0.0957431651862893,24382.1527777778,0.118776520600697,23196.0277777778,0.0853186329726839
"SRRM3|222183",113.805555555556,0.894340908185023,129.527777777778,1.30246877307631,98.0833333333333,0.451417943616765
"SRRM4|84530",37.4166666666667,1.36813801342761,42.1111111111111,1.68528139490285,32.7222222222222,1.00833332515927
"SRRM5|100170229",40.9652777777778,0.153500071352748,42.7222222222222,0.261544327767997,39.2083333333333,0.132527412599807
"SRRT|51593",3337.95138888889,0.0592915495677488,3235.63888888889,0.0833005517321889,3440.26388888889,0.051632465612074
"SRR|63826",678.256944444444,0.118910690971873,447.319444444444,0.169711077689097,909.194444444444,0.111356916008714
"SRXN1|140809",3049.09722222222,0.138808414750172,3336.52777777778,0.19479106984907,2761.66666666667,0.0867269632948347
"SS18L1|26039",964.006944444444,0.0923589813450985,760.055555555556,0.118958970135535,1167.95833333333,0.098504626740911
"SS18L2|51188",476.201388888889,0.104141775392918,461.333333333333,0.182699680081137,491.069444444444,0.0700363831333368
"SS18|6760",5345.23611111111,0.063378905130241,4338.61111111111,0.0983734353519603,6351.86111111111,0.0467588982272192
"SSBP1|6742",2809.91666666667,0.0722566876601734,3252.29166666667,0.121866260056056,2367.54166666667,0.0372005589186305
"SSBP2|23635",985.965277777778,0.118856840839381,971.013888888889,0.179982478816382,1000.91666666667,0.0782183053952106
"SSBP3|23648",1855.74305555556,0.073564950293518,1668.80555555556,0.122916818069054,2042.68055555556,0.0444583114273108
"SSBP4|170463",1141.82638888889,0.172675803854903,1393.68055555556,0.218229029271221,889.972222222222,0.13376393281647
"SSB|6741",4718.0625,0.0518203720081065,4499.13888888889,0.0870733861406045,4936.98611111111,0.0358966152987702
"SSC5D|284297",693.840277777778,0.757902492272622,732,0.875857610374959,655.680555555556,0.584785802447701
"SSFA2|6744",9195.61111111111,0.0915122737379067,7871.69444444444,0.14684518503405,10519.5277777778,0.0491032817070111
"SSH1|54434",3567.66666666667,0.0656229886409179,3611.16666666667,0.0910142147749219,3524.16666666667,0.0550382371537269
"SSH2|85464",2484.82638888889,0.110730685793419,2880.30555555556,0.14441992498918,2089.34722222222,0.0859976547734452
"SSH3|54961",2008.98611111111,0.155001914168313,1843.40277777778,0.155580274265908,2174.56944444444,0.162962588163642
"SSNA1|8636",1706.20138888889,0.160900386166568,1710.94444444444,0.257401943031194,1701.45833333333,0.0732105542641608
"SSPN|8082",2439.39583333333,0.214545529310382,3431.23611111111,0.265219574806028,1447.55555555556,0.159492336430339
"SSPO|23145",24.4097222222222,0.575683872627042,19.0138888888889,0.697800817246651,29.8055555555556,0.509707232374579
"SSR1|6745",10954.2916666667,0.0554441264856017,11286.9305555556,0.0899417245037488,10621.6527777778,0.0384020791401267
"SSR2|6746",12612.6875,0.0921792514372815,15762.3611111111,0.145330113286654,9463.01388888889,0.0498347722619076
"SSR3|6747",8642.21527777778,0.0975726428383066,9926.13888888889,0.156479896400748,7358.29166666667,0.049909995745473
"SSR4|6748",6089.38888888889,0.16897736067626,7456.66666666667,0.255458846981391,4722.11111111111,0.0834985707653955
"SSRP1|6749",7857.35416666667,0.0515261969767497,8327.34722222222,0.0733928681579322,7387.36111111111,0.047437588857032
